z_index,term_error_profile,coefficient_error_profile,current_term_profile,reference_term_profile,recurrence_speed_error_profile,is_target_z,time,target_z,local_term_error,max_term_error,local_coefficient_error,max_coefficient_error,recurrence_speed_max_error,sign_selection_error,status,notes
30,7.193668855746684e-19,2.220446049250313e-16,0.004182921931183837,0.004182921931183837,5.551115123125783e-17,False,3.72,0.09375,5.009367606696157e-18,5.137226805897254e-18,2.220446049250313e-16,4.440892098500626e-16,5.551115123125783e-17,0.0,PASS,"GKW Fortran Term I source reconstruction; linear_terms.F90:vpar_grad_df_4d_testnewbc; initial_profile=cosine, normalization_model=gkw_unweighted, target_z=0.09375"
31,5.243989143767979e-19,2.220446049250313e-16,0.003244175526283036,0.003244175526283036,5.551115123125783e-17,False,3.72,0.09375,5.009367606696157e-18,5.137226805897254e-18,2.220446049250313e-16,4.440892098500626e-16,5.551115123125783e-17,0.0,PASS,"GKW Fortran Term I source reconstruction; linear_terms.F90:vpar_grad_df_4d_testnewbc; initial_profile=cosine, normalization_model=gkw_unweighted, target_z=0.09375"
32,4.888149939440043e-19,2.220446049250313e-16,0.003195165762642415,0.003195165762642415,5.551115123125783e-17,False,3.72,0.09375,5.009367606696157e-18,5.137226805897254e-18,2.220446049250313e-16,4.440892098500626e-16,5.551115123125783e-17,0.0,PASS,"GKW Fortran Term I source reconstruction; linear_terms.F90:vpar_grad_df_4d_testnewbc; initial_profile=cosine, normalization_model=gkw_unweighted, target_z=0.09375"
33,6.648393923772485e-19,2.220446049250313e-16,0.003989926042864561,0.003989926042864561,5.551115123125783e-17,False,3.72,0.09375,5.009367606696157e-18,5.137226805897254e-18,2.220446049250313e-16,4.440892098500626e-16,5.551115123125783e-17,0.0,PASS,"GKW Fortran Term I source reconstruction; linear_terms.F90:vpar_grad_df_4d_testnewbc; initial_profile=cosine, normalization_model=gkw_unweighted, target_z=0.09375"
34,4.912829429468244e-19,2.220446049250313e-16,0.003159249855928967,0.003159249855928967,5.551115123125783e-17,False,3.72,0.09375,5.009367606696157e-18,5.137226805897254e-18,2.220446049250313e-16,4.440892098500626e-16,5.551115123125783e-17,0.0,PASS,"GKW Fortran Term I source reconstruction; linear_terms.F90:vpar_grad_df_4d_testnewbc; initial_profile=cosine, normalization_model=gkw_unweighted, target_z=0.09375"
35,6.083001477277506e-19,2.220446049250313e-16,0.0039182483639546,0.0039182483639546,5.551115123125783e-17,False,3.72,0.09375,5.009367606696157e-18,5.137226805897254e-18,2.220446049250313e-16,4.440892098500626e-16,5.551115123125783e-17,0.0,PASS,"GKW Fortran Term I source reconstruction; linear_terms.F90:vpar_grad_df_4d_testnewbc; initial_profile=cosine, normalization_model=gkw_unweighted, target_z=0.09375"
36,5.756209003437713e-19,2.220446049250313e-16,0.00375616189785467,0.0037561618978546704,5.551115123125783e-17,False,3.72,0.09375,5.009367606696157e-18,5.137226805897254e-18,2.220446049250313e-16,4.440892098500626e-16,5.551115123125783e-17,0.0,PASS,"GKW Fortran Term I source reconstruction; linear_terms.F90:vpar_grad_df_4d_testnewbc; initial_profile=cosine, normalization_model=gkw_unweighted, target_z=0.09375"
37,5.056524207399013e-19,2.220446049250313e-16,0.0030681914892030115,0.0030681914892030115,5.551115123125783e-17,False,3.72,0.09375,5.009367606696157e-18,5.137226805897254e-18,2.220446049250313e-16,4.440892098500626e-16,5.551115123125783e-17,0.0,PASS,"GKW Fortran Term I source reconstruction; linear_terms.F90:vpar_grad_df_4d_testnewbc; initial_profile=cosine, normalization_model=gkw_unweighted, target_z=0.09375"
38,7.031246272932438e-19,2.220446049250313e-16,0.004136973771013007,0.004136973771013007,5.551115123125783e-17,False,3.72,0.09375,5.009367606696157e-18,5.137226805897254e-18,2.220446049250313e-16,4.440892098500626e-16,5.551115123125783e-17,0.0,PASS,"GKW Fortran Term I source reconstruction; linear_terms.F90:vpar_grad_df_4d_testnewbc; initial_profile=cosine, normalization_model=gkw_unweighted, target_z=0.09375"
39,5.007211912083139e-19,2.220446049250313e-16,0.003226636347319338,0.003226636347319338,5.551115123125783e-17,False,3.72,0.09375,5.009367606696157e-18,5.137226805897254e-18,2.220446049250313e-16,4.440892098500626e-16,5.551115123125783e-17,0.0,PASS,"GKW Fortran Term I source reconstruction; linear_terms.F90:vpar_grad_df_4d_testnewbc; initial_profile=cosine, normalization_model=gkw_unweighted, target_z=0.09375"
40,5.454814907742974e-19,2.220446049250313e-16,0.0032455033778571343,0.0032455033778571343,5.551115123125783e-17,False,3.72,0.09375,5.009367606696157e-18,5.137226805897254e-18,2.220446049250313e-16,4.440892098500626e-16,5.551115123125783e-17,0.0,PASS,"GKW Fortran Term I source reconstruction; linear_terms.F90:vpar_grad_df_4d_testnewbc; initial_profile=cosine, normalization_model=gkw_unweighted, target_z=0.09375"
41,6.670217739948151e-19,2.220446049250313e-16,0.00414690923273204,0.00414690923273204,5.551115123125783e-17,False,3.72,0.09375,5.009367606696157e-18,5.137226805897254e-18,2.220446049250313e-16,4.440892098500626e-16,5.551115123125783e-17,0.0,PASS,"GKW Fortran Term I source reconstruction; linear_terms.F90:vpar_grad_df_4d_testnewbc; initial_profile=cosine, normalization_model=gkw_unweighted, target_z=0.09375"
42,5.098649375589707e-19,2.220446049250313e-16,0.00304499050813145,0.0030449905081314506,5.551115123125783e-17,False,3.72,0.09375,5.009367606696157e-18,5.137226805897254e-18,2.220446049250313e-16,4.440892098500626e-16,5.551115123125783e-17,0.0,PASS,"GKW Fortran Term I source reconstruction; linear_terms.F90:vpar_grad_df_4d_testnewbc; initial_profile=cosine, normalization_model=gkw_unweighted, target_z=0.09375"
43,5.973169503063871e-19,2.220446049250313e-16,0.0038230968878018422,0.0038230968878018427,5.551115123125783e-17,False,3.72,0.09375,5.009367606696157e-18,5.137226805897254e-18,2.220446049250313e-16,4.440892098500626e-16,5.551115123125783e-17,0.0,PASS,"GKW Fortran Term I source reconstruction; linear_terms.F90:vpar_grad_df_4d_testnewbc; initial_profile=cosine, normalization_model=gkw_unweighted, target_z=0.09375"
44,5.896175674960279e-19,2.220446049250313e-16,0.0038335882728303353,0.003833588272830335,5.551115123125783e-17,False,3.72,0.09375,5.009367606696157e-18,5.137226805897254e-18,2.220446049250313e-16,4.440892098500626e-16,5.551115123125783e-17,0.0,PASS,"GKW Fortran Term I source reconstruction; linear_terms.F90:vpar_grad_df_4d_testnewbc; initial_profile=cosine, normalization_model=gkw_unweighted, target_z=0.09375"
45,4.890325300134557e-19,2.220446049250313e-16,0.0029053010980216727,0.0029053010980216727,5.551115123125783e-17,False,3.72,0.09375,5.009367606696157e-18,5.137226805897254e-18,2.220446049250313e-16,4.440892098500626e-16,5.551115123125783e-17,0.0,PASS,"GKW Fortran Term I source reconstruction; linear_terms.F90:vpar_grad_df_4d_testnewbc; initial_profile=cosine, normalization_model=gkw_unweighted, target_z=0.09375"
46,4.692204004459434e-19,2.220446049250313e-16,0.0032109188560948297,0.00321091885609483,5.551115123125783e-17,False,3.72,0.09375,5.009367606696157e-18,5.137226805897254e-18,2.220446049250313e-16,4.440892098500626e-16,5.551115123125783e-17,0.0,PASS,"GKW Fortran Term I source reconstruction; linear_terms.F90:vpar_grad_df_4d_testnewbc; initial_profile=cosine, normalization_model=gkw_unweighted, target_z=0.09375"
47,3.1452010086439875e-19,4.440892098500626e-16,0.002186002079330492,0.002186002079330492,5.551115123125783e-17,False,3.72,0.09375,5.009367606696157e-18,5.137226805897254e-18,2.220446049250313e-16,4.440892098500626e-16,5.551115123125783e-17,0.0,PASS,"GKW Fortran Term I source reconstruction; linear_terms.F90:vpar_grad_df_4d_testnewbc; initial_profile=cosine, normalization_model=gkw_unweighted, target_z=0.09375"
