z_index,parallel_phi_profile,packed_parallel_phi_profile,time,output_window,field_offset,n_field_values,packing_roundtrip_error,parallel_phi_error,selected_profile_error,ky_spectrum_error,kx_spectrum_error,status,notes
38,1.5831565550473745e-07,1.5831565550473745e-07,3.72,62,12288,48,0.0,0.0,0.0,0.0,0.0,PASS,"GKW dist.F90/get_phi and diagnostic.F90 field-output audit; steps_per_window=20, output_window=62, initial_profile=cosine, normalization_model=gkw_unweighted"
39,1.481991543651106e-06,1.481991543651106e-06,3.72,62,12288,48,0.0,0.0,0.0,0.0,0.0,PASS,"GKW dist.F90/get_phi and diagnostic.F90 field-output audit; steps_per_window=20, output_window=62, initial_profile=cosine, normalization_model=gkw_unweighted"
40,4.104109594337855e-06,4.104109594337855e-06,3.72,62,12288,48,0.0,0.0,0.0,0.0,0.0,PASS,"GKW dist.F90/get_phi and diagnostic.F90 field-output audit; steps_per_window=20, output_window=62, initial_profile=cosine, normalization_model=gkw_unweighted"
41,3.0600533937236892e-06,3.0600533937236892e-06,3.72,62,12288,48,0.0,0.0,0.0,0.0,0.0,PASS,"GKW dist.F90/get_phi and diagnostic.F90 field-output audit; steps_per_window=20, output_window=62, initial_profile=cosine, normalization_model=gkw_unweighted"
42,7.729823514293264e-06,7.729823514293264e-06,3.72,62,12288,48,0.0,0.0,0.0,0.0,0.0,PASS,"GKW dist.F90/get_phi and diagnostic.F90 field-output audit; steps_per_window=20, output_window=62, initial_profile=cosine, normalization_model=gkw_unweighted"
43,3.2386875635343155e-06,3.2386875635343155e-06,3.72,62,12288,48,0.0,0.0,0.0,0.0,0.0,PASS,"GKW dist.F90/get_phi and diagnostic.F90 field-output audit; steps_per_window=20, output_window=62, initial_profile=cosine, normalization_model=gkw_unweighted"
44,2.382161106437297e-05,2.382161106437297e-05,3.72,62,12288,48,0.0,0.0,0.0,0.0,0.0,PASS,"GKW dist.F90/get_phi and diagnostic.F90 field-output audit; steps_per_window=20, output_window=62, initial_profile=cosine, normalization_model=gkw_unweighted"
45,1.4241964746848323e-05,1.4241964746848323e-05,3.72,62,12288,48,0.0,0.0,0.0,0.0,0.0,PASS,"GKW dist.F90/get_phi and diagnostic.F90 field-output audit; steps_per_window=20, output_window=62, initial_profile=cosine, normalization_model=gkw_unweighted"
46,7.434020174495112e-08,7.434020174495112e-08,3.72,62,12288,48,0.0,0.0,0.0,0.0,0.0,PASS,"GKW dist.F90/get_phi and diagnostic.F90 field-output audit; steps_per_window=20, output_window=62, initial_profile=cosine, normalization_model=gkw_unweighted"
47,8.084162891139516e-07,8.084162891139516e-07,3.72,62,12288,48,0.0,0.0,0.0,0.0,0.0,PASS,"GKW dist.F90/get_phi and diagnostic.F90 field-output audit; steps_per_window=20, output_window=62, initial_profile=cosine, normalization_model=gkw_unweighted"
