# step time state_norm phi_norm
        1420   4.26000000000005E+00   1.64549532512778E-02   1.44337567297406E-01
        1440   4.32000000000005E+00   1.64117656490533E-02   1.44337567297406E-01
        1460   4.38000000000005E+00   1.63702389483266E-02   1.44337567297406E-01
        1480   4.44000000000006E+00   1.63303268046821E-02   1.44337567297406E-01
        1500   4.50000000000006E+00   1.62914592785597E-02   1.44337567297406E-01
        1520   4.56000000000006E+00   1.62531760528356E-02   1.44337567297406E-01
        1540   4.62000000000006E+00   1.62155439752590E-02   1.44337567297406E-01
        1560   4.68000000000007E+00   1.61792200488291E-02   1.44337567297406E-01
        1580   4.74000000000007E+00   1.61446709268145E-02   1.44337567297406E-01
        1600   4.80000000000007E+00   1.61128981617690E-02   1.44337567297406E-01
