z_index,solver_z,stella_z,z_error,solver_B,stella_bmag,B_error,solver_F,stella_b_dot_gradz_over_2pi,F_error,solver_kperp2,stella_kperp2,kperp2_error,solver_D_y,stella_B_times_gradB_dot_grady,stella_B_times_kappa_dot_grady,stella_B_times_drift_y_sum,phi_abs
53,-0.29296875,-0.29296875,0.0,1.119,1.1191615717561056,0.00016157175610564956,0.0019607888988921506,0.001960114464431741,-6.74434460409476e-07,0.26667,0.2667100262168794,4.002621687937413e-05,0.07679,0.017169204190588566,0.05962283578993843,0.076792039980527,5.957700119374343e-11
54,-0.2890625,-0.2890625,0.0,1.177,1.177105330240686,0.00010533024068593022,0.0019607888988921506,0.001960114464431741,-6.74434460409476e-07,0.15794999999999998,0.15797934421083928,2.934421083930494e-05,0.07951,0.02056254162914327,0.058945712266828244,0.07950825389597152,5.647449807300481e-11
55,-0.28515625,-0.28515625,0.0,1.132,1.1323120036989365,0.0003120036989365804,0.0019607888988921506,0.001960114464431741,-6.74434460409476e-07,0.10142999999999999,0.10146776236214633,3.7762362146337436e-05,0.14806999999999998,0.053304445720152485,0.09477337798918553,0.14807782370933803,5.3423185930896335e-11
56,-0.28125,-0.28125,0.0,1.042,1.042368620714537,0.00036862071453702683,0.0019607888988921506,0.001960114464431741,-6.74434460409476e-07,0.08967599999999999,0.08967236006123604,-3.639938763955186e-06,0.16167,0.0563681080817826,0.10530912698597004,0.16167723506775264,4.5904181447968334e-11
57,-0.27734375,-0.27734375,0.0,0.9594,0.9594325367504036,3.2536750403600045e-05,0.0019607888988921506,0.001960114464431741,-6.74434460409476e-07,0.10557,0.1055849282532911,1.4928253291107696e-05,0.12974,0.035986313523244016,0.09375469224086062,0.12974100576410463,3.6148493066720054e-11
58,-0.2734375,-0.2734375,0.0,0.9291,0.929080256919679,-1.9743080321044104e-05,0.0019607888988921506,0.001960114464431741,-6.74434460409476e-07,0.10854,0.10858425091901362,4.425091901362477e-05,-0.044218999999999994,-0.05291437238999013,0.008690876959735128,-0.044223495430255,3.265153057806169e-11
59,-0.26953125,-0.26953125,0.0,1.008,1.008366617874499,0.00036661787449898675,0.0019607888988921506,0.001960114464431741,-6.74434460409476e-07,0.17451,0.17446940016507786,-4.0599834922133704e-05,-0.3393,-0.19584662205370842,-0.1435453050511825,-0.3393919271048909,2.6908794230911283e-11
60,-0.265625,-0.265625,0.0,1.137,1.1365053448918967,-0.0004946551081033146,0.0019607888988921506,0.001960114464431741,-6.74434460409476e-07,0.47493,0.4749564380208253,2.6438020825303443e-05,-0.3467,-0.19393002013447352,-0.15276276952011783,-0.3466927896545914,1.1232621339806265e-11
61,-0.26171875,-0.26171875,0.0,1.244,1.2435852894238846,-0.00041471057611541795,0.0019607888988921506,0.001960114464431741,-6.74434460409476e-07,0.9054,0.9051731190679634,-0.00022688093203659943,-0.3008,-0.16762133671940482,-0.13324619546316405,-0.3008675321825689,1.0222830703249841e-11
62,-0.2578125,-0.2578125,0.0,1.241,1.2414527200277377,0.00045272002773755204,0.0019607888988921506,0.001960114464431741,-6.74434460409476e-07,0.8963099999999999,0.8963504953230802,4.0495323080258494e-05,-0.054398,-0.04445486834158604,-0.0099484562460473,-0.05440332458763334,2.5423166243047894e-11
