sample_index,time,ky_index,ky,log_amplitude,raw_amplitude,window_growth
43,4.3,1,0.2,-3.9180378916888956,1.0180458778372838,0.17884983750664116
43,4.3,2,0.3,-3.982336063109208,1.017164376766788,0.1701873307840624
44,4.4,0,0.1,-3.862419705871492,1.0179681648963113,0.1780864543532869
44,4.4,1,0.2,-3.900769168916904,1.0174186891640769,0.1726872277199156
44,4.4,2,0.3,-3.96606095299642,1.016408271140012,0.16275110112787952
45,4.5,0,0.1,-3.8451073788824663,1.0174630538766507,0.1731232698902569
45,4.5,1,0.2,-3.884103058420273,1.016805764869205,0.16666110496630862
45,4.5,2,0.3,-3.950513428223263,1.0156690163509365,0.15547524773157184
46,4.6000000000000005,0,0.1,-3.8282773599134012,1.016972441608379,0.1683001896906502
46,4.6000000000000005,1,0.2,-3.8680253426677296,1.0162076576802173,0.1607771575254349
46,4.6000000000000005,2,0.3,-3.935676352321452,1.0149476917070883,0.1483707590181097
47,4.7,0,0.1,-3.811915697011529,1.0164962479179906,0.16361662901872412
47,4.7,1,0.2,-3.852521287965284,1.0156248661065903,0.15504054702445702
47,4.7,2,0.3,-3.921531577603165,1.0142452853853223,0.1414477471828684
48,4.8,0,0.1,-3.796008553302278,1.0160343358459871,0.15907143709251115
48,4.8,1,0.2,-3.837575690386167,1.015057841509683,0.14945597579116895
48,4.8,2,0.3,-3.9080600173132534,1.0135627106106628,0.13471560289911857
49,4.9,0,0.1,-3.7805422563044377,1.015586519166857,0.15466296997839996
49,4.9,1,0.2,-3.823172914249161,1.0145069958672677,0.14402776137006168
49,4.9,2,0.3,-3.8952417070561003,1.0129008169513185,0.12818310257153007
50,5.0,0,0.1,-3.76550333832255,1.0151525715363416,0.15038917981887998
50,5.0,1,0.2,-3.8092969246041912,1.0139727080259324,0.1387598964496966
50,5.0,2,0.3,-3.8830558608121706,1.0122603961785264,0.12185846243929753
51,5.1000000000000005,0,0.1,-3.7508785685716415,1.014732234941502,0.1462476975090824
51,5.1000000000000005,1,0.2,-3.7959313167976063,1.0134553268133566,0.1336560780658484
51,5.1000000000000005,2,0.3,-3.871480926349503,1.0116421832328086,0.11574934462667602
52,5.2,0,0.1,-3.7366549793425805,1.0143252257814854,0.14223589229061023
52,5.2,1,0.2,-3.783059347016054,1.012955170185691,0.12871969781552517
52,5.2,2,0.3,-3.8604946435797327,1.0110468535871346,0.10986282769770245
53,5.3,0,0.1,-3.7228198893032385,1.0139312377901208,0.13835090039342074
53,5.3,1,0.2,-3.770663967633095,1.0124725204996137,0.12395379382959026
53,5.3,2,0.3,-3.8500741077271474,1.0104750187187475,0.10420535852585326
54,5.4,0,0.1,-3.7093609268950427,1.013549941947952,0.13458962408195702
54,5.4,1,0.2,-3.758727870241564,1.0120076168732364,0.11936097391530723
54,5.4,2,0.3,-3.8401958373709077,1.0099272215203605,0.09878270356239618
55,5.5,0,0.1,-3.6962660558445655,1.013180984344686,0.13094871050477289
55,5.5,1,0.2,-3.7472335376498416,1.0115606462661733,0.1149433259172254
55,5.5,2,0.3,-3.830835845778481,1.0094039333047482,0.09359991592426764
56,5.6000000000000005,0,0.1,-3.6835236033354004,1.0128239834906527,0.12742452509164992
56,5.6000000000000005,1,0.2,-3.7361633042076714,1.011131735213206,0.11070233442170115
56,5.6000000000000005,2,0.3,-3.8219697127783925,1.0089055535738312,0.08866133000088491
57,5.7,0,0.1,-3.6711222897516094,1.0124785287327145,0.12401313583791085
57,5.7,1,0.2,-3.7254994220617768,1.0107209439903226,0.1066388214589468
57,5.7,2,0.3,-3.8135726540297035,1.0084324129342768,0.08397058748689042
58,5.8,0,0.1,-3.659051257520975,1.0121441811716243,0.1207103223063437
58,5.8,1,0.2,-3.7152241297857596,1.0103282643708176,0.10275292276017237
58,5.8,2,0.3,-3.8056195851904904,1.0079847784984854,0.07953068839213123
59,5.9,0,0.1,-3.647300095816347,1.011820477854334,0.11751161704628137
59,5.9,1,0.2,-3.7053197196419063,1.009953621148475,0.09904410143853185
59,5.9,2,0.3,-3.7980851802877917,1.0075628599503752,0.07534404902698592
60,6.0,0,0.1,-3.6358588579471984,1.0115069391600877,0.11441237869148453
60,6.0,1,0.2,-3.6957686006667316,1.0095968764744305,0.09551118975174722
60,6.0,2,0.3,-3.7909439264375147,1.0071668134097633,0.0714125385027711
61,6.1000000000000005,0,0.1,-3.6247180692283725,1.0112030784093096,0.11140788718825896
61,6.1000000000000005,1,0.2,-3.686553356705762,1.0092578350501624,0.09215243960969795
61,6.1000000000000005,2,0.3,-3.7841701805541796,1.0067967395884998,0.06773745883334978
62,6.2,0,0.1,-3.6138687247706844,1.0109084120167624,0.10849344457688076
62,6.2,1,0.2,-3.677656801055924,1.0089362476210124,0.08896555649837744
62,6.2,2,0.3,-3.7777382371420054,1.0064526727797445,0.06431943412174257
63,6.3,0,0.1,-3.6033022786342546,1.010622468172481,0.10566446136429912
63,6.3,1,0.2,-3.66906203189447,1.0086318102336955,0.08594769161454105
63,6.3,2,0.3,-3.771622418794578,1.006134558148051,0.06115818347427492
64,6.4,0,0.1,-3.5930106276483995,1.0103447921729214,0.10291650985854994
64,6.4,1,0.2,-3.6607524944901,1.0083441574360181,0.08309537404369971
64,6.4,2,0.3,-3.7657972017593506,1.0058422166046783,0.058252170352272835
65,6.5,0,0.1,-3.582986094464187,1.0100749471349466,0.10024533184212406
65,6.5,1,0.2,-3.65271205670044,1.008072848917903,0.08040437789659934
65,6.5,2,0.3,-3.7602373871635266,1.0055752990485887,0.05559814595824017
66,6.6000000000000005,0,0.1,-3.573221414721467,1.0098125097828694,0.09764679742719944
66,6.6000000000000005,1,0.2,-3.6449251031049617,1.0078173507678583,0.07786953595478388
66,6.6000000000000005,2,0.3,-3.7549183239925124,1.0053332345024508,0.053190631710142426
67,6.7,0,0.1,-3.5637097324488356,1.0095570620878036,0.09511682272631583
67,6.7,1,0.2,-3.6373766503118676,1.007577014182417,0.07548452793094045
67,6.7,2,0.3,-3.7498161829746035,1.0051151791040125,0.051021410179088636
68,6.8,0,0.1,-3.554444606093353,1.0093081805033208,0.09265126355482634
68,6.8,1,0.2,-3.630052481914483,1.0073510557210856,0.07324168397384616
68,6.8,2,0.3,-3.744908272063803,1.0049199744330444,0.04907910910800357
69,6.9,0,0.1,-3.545420025247522,1.0090654251506719,0.09024580845831083
69,6.9,1,0.2,-3.622939296991306,1.0071385437146523,0.07113184923177103
69,6.9,2,0.3,-3.7401733756076174,1.004746123791507,0.04734896456185719
70,7.0,0,0.1,-3.536630435701195,1.0088283314137048,0.08789589546327058
70,7.0,1,0.2,-3.6160248618588553,1.0069383950302697,0.06914435132450628
70,7.0,2,0.3,-3.7355920921392385,1.0045917935913091,0.04581283468378954
71,7.1000000000000005,0,0.1,-3.528070768419486,1.0085964059825672,0.08559667281708937
71,7.1000000000000005,1,0.2,-3.6092981518915206,1.0067493850953169,0.06726709967334674
71,7.1000000000000005,2,0.3,-3.7311471415313586,1.0044548440540282,0.04444950607879837
72,7.2,0,0.1,-3.519736466858461,1.0083691285378875,0.08334301561024689
72,7.2,1,0.2,-3.6027494692850475,1.00657017211212,0.06548682606473145
72,7.2,2,0.3,-3.7268236120300857,1.0043328894394086,0.0432352950127292
73,7.3,0,0.1,-3.511623506904678,1.0081459591935262,0.08112959953783279
73,7.3,1,0.2,-3.596370523944392,1.0063993341424469,0.06378945340655329
73,7.3,2,0.3,-3.7226091217862116,1.0042233836972836,0.04214490243874118
74,7.4,0,0.1,-3.503728404645426,1.0079263507616676,0.07895102259252121
74,7.4,1,0.2,-3.5901544680550703,1.0062354156577444,0.06216055889321803
74,7.4,2,0.3,-3.7184938774430094,1.0041237235886034,0.041152443432021846
75,7.5,0,0.1,-3.496048208900734,1.0077097640964678,0.07680195744691726
75,7.5,1,0.2,-3.5840958797683067,1.0060769786539068,0.06058588286763666
75,7.5,2,0.3,-3.714470622918795,1.00403135867741,0.04023254524214274
76,7.6000000000000005,0,0.1,-3.4885804775791796,1.007495684365718,0.07467731321554498
76,7.6000000000000005,1,0.2,-3.5781906969320714,1.0059226527992462,0.05905182836235281
76,7.6000000000000005,2,0.3,-3.7105344830438725,1.0039438966473881,0.03936139874922674
77,7.7,0,0.1,-3.481323239012566,1.0072836361416153,0.0725723856661367
77,7.7,1,0.2,-3.5724361069836603,1.0057711794077275,0.05754589948411069
77,7.7,2,0.3,-3.7066827173409402,1.0038591932858218,0.03851765702932233
78,7.8,0,0.1,-3.4742749410953286,1.0070731956301278,0.07048297917237292
78,7.8,1,0.2,-3.566830403154594,1.0056214451868266,0.05605703829066242
78,7.8,2,0.3,-3.702914407371325,1.003775418976471,0.037683099696153154
79,7.9,0,0.1,-3.46743439206146,1.0068639990291977,0.06840549033868512
79,7.9,1,0.2,-3.5613728194787053,1.0054725034152385,0.05457583675888748
79,7.9,2,0.3,-3.6992301056333794,1.0036910971204438,0.036843017379455195
80,8.0,0,0.1,-3.460800697013894,1.0066557467369848,0.06633695047566081
80,8.0,1,0.2,-3.556063357563727,1.0053235820870023,0.05309461914978294
80,8.0,2,0.3,-3.6956314746198267,1.0036051138602635,0.03598631013552746
81,8.1,0,0.1,-3.4543731939854134,1.00644820375363,0.0642750302848063
81,8.1,1,0.2,-3.550902616876316,1.0051740802470963,0.05160740687411032
81,8.1,2,0.3,-3.692120941650316,1.0035167021072506,0.035105329695106616
82,8.2,0,0.1,-3.44815139257744,1.0062411970187015,0.06221801407973371
82,8.2,1,0.2,-3.545891637870434,1.0050235549583508,0.05010979005882117
82,8.2,2,0.3,-3.6887013893974436,1.0034254055917082,0.034195522528723946
83,8.3,0,0.1,-3.442134917354395,1.0060346105621303,0.06016475223045074
83,8.3,1,0.2,-3.541031764271152,1.0048717019386313,0.048598735992819025
83,8.3,2,0.3,-3.685375894861105,1.0033310301277865,0.03325494536338744
84,8.4,0,0.1,-3.436323457394172,1.0058283792530427,0.0581145996022283
84,8.4,1,0.2,-3.536324527813686,1.0047183328993592,0.04707236457465863
84,8.4,2,0.3,-3.682147522231718,1.003233589436726,0.032283726293869226
85,8.5,0,0.1,-3.4307167228520843,1.0056224816944794,0.05606734542087841
85,8.5,1,0.2,-3.531771556202863,1.0045633521341648,0.04552971610823258
85,8.5,2,0.3,-3.6790191687630647,1.0031332518730138,0.031283534686532666
86,8.6,0,0.1,-3.4253144091242094,1.0054169325379592,0.054023137278749384
86,8.6,1,0.2,-3.5273745032701695,1.0044067341543537,0.0439705293269334
86,8.6,2,0.3,-3.6759934582514755,1.003030292593825,0.030257105115891855
87,8.700000000000001,0,0.1,-3.420116169141872,1.0052117742731288,0.05198239982337076
87,8.700000000000001,1,0.2,-3.523134999318382,1.0042485033618498,0.04239503951787455
87,8.700000000000001,2,0.3,-3.6730726743588655,1.0029250535377754,0.029207838926099267
88,8.8,0,0.1,-3.4151215943805524,1.005007068441389,0.049945747613198324
88,8.8,1,0.2,-3.5190546193369268,1.0040887160661265,0.04080379981455288
88,8.8,2,0.3,-3.6702587257572197,1.0028179114712443,0.02813948601645865
89,8.9,0,0.1,-3.4103302051996556,1.0048028862410006,0.047913891808968496
89,8.9,1,0.2,-3.51513486692026,1.003927444693494,0.03919752416666991
89,8.9,2,0.3,-3.667553136481508,1.002709252685525,0.02705589275711527
