z_index,z,theta,phi,rho,B,F,G,E_y,D_x,D_y,g_xx,g_xy,g_yy,kperp2_min,kperp2_max
42,-0.3359375,-2.110757564130642,-14.67,0.8,1.04,0.0019607888988921506,0.03836829228340228,-0.1532,-0.08244,-0.2572,0.4815,0.3121,2.448,0.024480000000000005,0.22032
43,-0.33203125,-2.086213871524472,-14.5,0.8,0.9988,0.0019607888988921506,0.009724575430051069,-0.1414,-0.04815,-0.22952,1.334,0.9655,1.447,0.014470000000000004,0.13023
44,-0.328125,-2.061670178918302,-14.33,0.8,0.9867,0.0019607888988921506,-0.0014001371340692996,-0.02601,0.03457,0.002610000000000001,2.754,2.875,3.354,0.03354000000000001,0.30186
45,-0.32421875,-2.0371264863121317,-14.16,0.8,1.009,0.0019607888988921506,-0.016968703207536427,0.1032,0.09302,0.2586,3.963,4.699,5.829,0.05829000000000001,0.5246099999999999
46,-0.3203125,-2.012582793705961,-14.0,0.8,1.049,0.0019607888988921506,-0.02313277480375132,0.1008,0.06292,0.2499,4.948,6.232,8.072,0.08072000000000001,0.7264799999999999
47,-0.31640625,-1.9880391010997909,-13.84,0.8,1.087,0.0019607888988921506,-0.003957225548580891,0.0287,0.001393,0.10244,5.684,7.561,10.27,0.10270000000000001,0.9242999999999999
48,-0.3125,-1.9634954084936207,-13.68,0.8,1.061,0.0019607888988921506,0.02048432566007006,-0.05451,-0.05639,-0.061821,5.181,7.265,10.41,0.10410000000000003,0.9369
49,-0.30859375,-1.9389517158874505,-13.52,0.8,1.022,0.0019607888988921506,0.01877056845055023,-0.1333,-0.09141,-0.21563,4.196,6.196,9.399,0.09399,0.8459099999999999
50,-0.3046875,-1.9144080232812801,-13.36,0.8,0.9886,0.0019607888988921506,0.007989247633845849,-0.1314,-0.05206,-0.20834999999999998,3.02,4.82,8.018,0.08018000000000003,0.72162
51,-0.30078125,-1.88986433067511,-13.18,0.8,0.9947,0.0019607888988921506,-0.007659802357124296,-0.02907,0.03634,-0.004399999999999998,1.55,2.907,6.088,0.06088000000000001,0.54792
52,-0.296875,-1.8653206380689396,-13.01,0.8,1.02,0.0019607888988921506,-0.027821160089726356,0.06151,0.07644,0.17411000000000001,0.5653,1.179,4.301,0.04301000000000001,0.38709
53,-0.29296875,-1.8407769454627694,-12.85,0.8,1.119,0.0019607888988921506,-0.05043597575936116,0.01717,0.08469,0.07679,0.4228,-0.01453,2.963,0.029630000000000007,0.26667
54,-0.2890625,-1.8162332528565992,-12.69,0.8,1.177,0.0019607888988921506,0.0022589408893517056,0.02056,0.1131,0.07951,0.9198,-0.4781,1.755,0.017550000000000003,0.15794999999999998
55,-0.28515625,-1.7916895602504288,-12.52,0.8,1.132,0.0019607888988921506,0.03260616488587664,0.0533,0.08637,0.14806999999999998,1.186,-0.2332,1.127,0.011270000000000002,0.10142999999999999
56,-0.28125,-1.7671458676442586,-12.36,0.8,1.042,0.0019607888988921506,0.0465042778641324,0.05637,0.06481,0.16167,1.127,0.1905,0.9964,0.009964,0.08967599999999999
57,-0.27734375,-1.7426021750380885,-12.18,0.8,0.9594,0.0019607888988921506,0.033576510321332596,0.03599,0.03678,0.12974,1.004,0.5071,1.173,0.011730000000000003,0.10557
58,-0.2734375,-1.718058482431918,-12.0,0.8,0.9291,0.0019607888988921506,-0.010321749077109865,-0.05291,-0.06898,-0.044218999999999994,1.022,0.608,1.206,0.012060000000000001,0.10854
59,-0.26953125,-1.6935147898257479,-11.81,0.8,1.008,0.0019607888988921506,-0.061315721897928395,-0.1958,-0.07567,-0.3393,1.543,1.405,1.939,0.019390000000000004,0.17451
60,-0.265625,-1.6689710972195777,-11.64,0.8,1.137,0.0019607888988921506,-0.055820989950380644,-0.1939,-0.001701,-0.3467,2.272,3.271,5.277,0.05277000000000001,0.47493
61,-0.26171875,-1.6444274046134073,-11.48,0.8,1.244,0.0019607888988921506,-0.027280217788230525,-0.1676,0.02292,-0.3008,2.4,4.753,10.06,0.10060000000000002,0.9054
62,-0.2578125,-1.6198837120072371,-11.32,0.8,1.241,0.0019607888988921506,0.027537326625094005,-0.04445,0.06518,-0.054398,1.558,3.738,9.959,0.09959000000000001,0.8963099999999999
63,-0.25390625,-1.5953400194010667,-11.15,0.8,1.142,0.0019607888988921506,0.052221603097209655,-0.03523,0.06859,-0.029678999999999997,0.7911,1.782,5.662,0.05662000000000001,0.5095799999999999
64,-0.25,-1.5707963267948966,-10.97,0.8,1.016,0.0019607888988921506,0.05943196239424261,0.01708,0.05515,0.08572,0.5933,0.8391,2.925,0.029250000000000005,0.26325
65,-0.24609375,-1.5462526341887264,-10.78,0.8,0.9318,0.0019607888988921506,0.022176246691176137,0.01157,0.03335,0.08437,0.7188,0.8057,2.111,0.021110000000000007,0.18999000000000002
66,-0.2421875,-1.521708941582556,-10.59,0.8,0.937,0.0019607888988921506,-0.029315029350742077,-0.04468,-0.02375,-0.0288,0.7196,0.6847,1.872,0.018720000000000004,0.16848
67,-0.23828125,-1.4971652489763858,-10.4,0.8,1.036,0.0019607888988921506,-0.062683626978801,-0.1433,-0.07748,-0.23708,0.9835,0.4028,1.257,0.012570000000000001,0.11312999999999998
68,-0.234375,-1.4726215563702154,-10.23,0.8,1.17,0.0019607888988921506,-0.057094066419924365,-0.1911,-0.0672,-0.3434,2.178,0.8585,0.9666,0.009666000000000003,0.086994
69,-0.23046875,-1.4480778637640452,-10.07,0.8,1.274,0.0019607888988921506,-0.01834230165240874,-0.199,-0.04155,-0.3653,4.353,2.566,1.885,0.018850000000000002,0.16965
70,-0.2265625,-1.423534171157875,-9.908,0.8,1.236,0.0019607888988921506,0.0421354674687399,-0.1299,0.05056,-0.22503,4.058,3.472,3.347,0.03347000000000001,0.30123
71,-0.22265625,-1.3989904785517047,-9.744,0.8,1.117,0.0019607888988921506,0.05796974585900364,-0.07895,0.07312,-0.11532,2.16,2.484,3.435,0.034350000000000006,0.30915
72,-0.21875,-1.3744467859455345,-9.57,0.8,0.9767,0.0019607888988921506,0.06746590082488294,0.02767,0.07327,0.11109,0.9356,1.255,2.702,0.027020000000000006,0.24317999999999998
73,-0.21484375,-1.3499030933393643,-9.381,0.8,0.9152,0.0019607888988921506,-0.009023495778327876,0.03248,0.003821,0.12844,0.6311,0.7202,2.149,0.021490000000000006,0.19341
74,-0.2109375,-1.325359400733194,-9.19,0.8,0.9721,0.0019607888988921506,-0.04095398990842328,-0.08321,-0.04434,-0.11016000000000001,0.6148,0.7626,2.483,0.024830000000000005,0.22347
75,-0.20703125,-1.3008157081270237,-9.008,0.8,1.07,0.0019607888988921506,-0.053639210615438825,-0.1215,-0.07635,-0.1966,0.4511,0.6083,3.359,0.03359000000000001,0.30230999999999997
