case,ky,z_index,z,theta,phi,B,F,G,E_y,D_x,D_y,g_xx,g_xy,g_yy,kperp2,bessel_j0_rms_over_mu,gamma0_mean_over_species,magnetic_drift_frequency_rms_over_velocity,maxwellian_mean_over_velocity,drive_factor_mean_over_velocity,field_denominator_real,field_denominator_imag,ion_polarization_real,electron_response
gkw_fd_16x8,0.3,153,0.09765625,0.6135923151542565,4.276,0.9654,0.0019607888988921506,0.061401511866060035,-0.05703,0.06843,-0.05700197,0.8732,0.01322,1.068,0.09612,0.9757209461096271,0.9503717923793535,0.037658449953942436,0.04060736760693465,3.369261718749999,-1.0496282076206465,0.0,-0.04962820762064646,1.0
gkw_fd_16x8,0.3,154,0.1015625,0.6381360077604268,4.466,0.9161,0.0019607888988921506,-0.013976947485101318,0.03114,-0.007114,0.12564,0.6265,-0.1123,1.36,0.12240000000000001,0.967653322793608,0.9309085974533556,0.08208849928447319,0.041561653010703,3.2219394531250005,-1.0690914025466443,0.0,-0.06909140254664436,1.0
gkw_fd_16x8,0.3,155,0.10546875,0.662679700366597,4.657,0.9818,0.0019607888988921506,-0.04522631771272729,-0.02308,-0.04585,0.008999999999999998,0.6064,-0.01487,1.59,0.1431,0.9648044508226798,0.9297399666353148,0.005967820505941858,0.04030220844590665,3.41826953125,-1.0702600333646852,0.0,-0.07026003336468523,1.0
gkw_fd_16x8,0.3,156,0.109375,0.6872233929727672,4.836,1.084,0.0019607888988921506,-0.05207539129036578,-0.02905,-0.07898,-0.012879999999999999,0.4365,0.02972,2.696,0.24264,0.9468411774647315,0.9043100741519481,0.008738468180582028,0.03852661252611203,3.7236718749999995,-1.095689925848052,0.0,-0.09568992584805192,1.0
gkw_fd_16x8,0.3,157,0.11328125,0.7117670855789375,5.006,1.186,0.0019607888988921506,-0.034227259260192364,-0.0524,-0.07431,-0.06697,0.3095,-0.2198,4.698,0.42282000000000003,0.9177139689059584,0.8653168622472022,0.04648016929300458,0.03694695368642633,4.0284765625,-1.134683137752798,0.0,-0.13468313775279783,1.0
gkw_fd_16x8,0.3,158,0.1171875,0.7363107781851077,5.17,1.225,0.0019607888988921506,0.006946776995546045,-0.1093,-0.07503,-0.18318,0.4295,-1.021,5.92,0.5327999999999999,0.9013038579802262,0.8439494977619774,0.12823910855012816,0.03638757053910893,4.14501953125,-1.1560505022380227,0.0,-0.15605050223802264,1.0
gkw_fd_16x8,0.3,159,0.12109375,0.760854470791278,5.333,1.145,0.0019607888988921506,0.053452803799664515,-0.09486,-0.08169,-0.14912999999999998,0.983,-1.707,4.297,0.38672999999999996,0.9217261847265894,0.867568845296945,0.10256371217590884,0.0375607711594977,3.9059570312499994,-1.132431154703055,0.0,-0.132431154703055,1.0
gkw_fd_16x8,0.3,160,0.125,0.7853981633974483,5.5,1.042,0.0019607888988921506,0.034497545528591786,-0.1206,-0.04026,-0.19226,1.684,-1.562,2.094,0.18846,0.9566511257514145,0.9185998105002289,0.12921927811511674,0.03923110259259074,3.5981640625,-1.0814001894997711,0.0,-0.08140018949977113,1.0
gkw_fd_16x8,0.3,161,0.12890625,0.8099418560036186,5.676,0.9811,0.0019607888988921506,0.029683735604252828,-0.1329,0.07884,-0.21056,2.151,-0.9922,0.9053,0.081477,0.9796780902423902,0.9589892291684894,0.13959852102459158,0.04031511266824789,3.416177734375,-1.0410107708315106,0.0,-0.04101077083151061,1.0
gkw_fd_16x8,0.3,162,0.1328125,0.8344855486097889,5.853,0.9527,0.0019607888988921506,-0.009631823964839959,-0.02264,0.06513,0.013310000000000002,2.148,-0.581,0.5796,0.052163999999999995,0.9865211840386112,0.9718734119224475,0.008768197498084978,0.04084780916572428,3.331310546874999,-1.0281265880775525,0.0,-0.028126588077552528,1.0
