sample_index,time,ky_index,ky,log_amplitude,raw_amplitude,window_growth
12,1.2,2,0.3,-4.698519967331258,0.9774536685149459,-0.2280438618460859
13,1.3,0,0.1,-4.562749905692763,0.9754188240919396,-0.24888337048915665
13,1.3,1,0.2,-4.631405366188996,0.9761673741260284,-0.2412121738852766
13,1.3,2,0.3,-4.721430839399709,0.977349589038735,-0.22910872068450752
14,1.4000000000000001,0,0.1,-4.588129546313386,0.9749397150433834,-0.25379640620623234
14,1.4000000000000001,1,0.2,-4.655836789718927,0.9758646079739246,-0.24431423529930973
14,1.4000000000000001,2,0.3,-4.744393389068645,0.9772990832621574,-0.2296254966893672
15,1.5,0,0.1,-4.613998948098857,0.9744623443412452,-0.25869401785470847
15,1.5,1,0.2,-4.68055134105669,0.975588352676352,-0.2471455133776338
15,1.5,2,0.3,-4.767350634360444,0.9773042672388206,-0.22957245291798353
16,1.6,0,0.1,-4.640356096509427,0.9739871695133856,-0.26357148410569997
16,1.6,1,0.2,-4.705520095776325,0.9753403863360639,-0.24968754719634645
16,1.6,2,0.3,-4.7902440805095186,0.9773666204022685,-0.22893446149074828
17,1.7,0,0.1,-4.667198568317368,0.9735145854386116,-0.2684247180794145
17,1.7,1,0.2,-4.7307124817858135,0.9751222940944541,-0.25192386009488954
17,1.7,2,0.3,-4.813014476869717,0.9774868925581439,-0.22770396360198428
18,1.8,0,0.1,-4.694523591938527,0.9730449275364642,-0.27325023621158606
18,1.8,1,0.2,-4.756096519652687,0.9749354280028024,-0.2538403786687391
18,1.8,2,0.3,-4.835602666488975,0.9776650134860732,-0.22588189619257884
19,1.9000000000000001,0,0.1,-4.722328096528081,0.972578482846929,-0.27804504589553836
19,1.9000000000000001,1,0.2,-4.781639095204204,0.9747808762488328,-0.2554257555151638
19,1.9000000000000001,2,0.3,-4.857950503999812,0.977900025575088,-0.22347837510837446
20,2.0,0,0.1,-4.75060873736092,0.9721155132088657,-0.28280640832838916
20,2.0,1,0.2,-4.807306243589018,0.9746594525964356,-0.2566714838481413
20,2.0,2,0.3,-4.880001796744579,0.9781900597113395,-0.220512927447665
21,2.1,0,0.1,-4.779361881167088,0.9716562942381624,-0.2875314380616875
21,2.1,1,0.2,-4.833063415390042,0.9745717143721785,-0.2575717180102364
21,2.1,2,0.3,-4.901703209065536,0.9785323691441903,-0.21701412320957106
22,2.2,0,0.1,-4.808583532436863,0.9712011726345112,-0.2922165126977469
22,2.2,1,0.2,-4.85887569167157,0.9745180125837611,-0.2581227628152847
22,2.2,2,0.3,-4.923005064951872,0.9789234261682394,-0.21301855886336243
23,2.3000000000000003,0,0.1,-4.838269180635116,0.970750642803786,-0.29685648198253006
23,2.3000000000000003,1,0.2,-4.884707917288526,0.9744985717909649,-0.2583222561695562
23,2.3000000000000003,2,0.3,-4.943861991986266,0.9793590743534212,-0.20856927034393438
24,2.4,0,0.1,-4.868413548748188,0.9703054422705909,-0.30144368113071635
24,2.4,1,0.2,-4.910524730222615,0.9745135915441523,-0.25816812934089756
24,2.4,2,0.3,-4.964233368902126,0.979834717733065,-0.2037137691586029
25,2.5,0,0.1,-4.899010225205939,0.9698666642611221,-0.3059667645775119
25,2.5,1,0.2,-4.936290477529372,0.974563356962689,-0.25765747306756714
25,2.5,2,0.3,-4.984083566045444,0.9803455208669498,-0.19850197143318465
